position,player_name,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions
SF-PF,Brian Boddicker,10.93,,3.25,28.0,30.0,16.0
PG-SG,Tim Bowers,11.24,,3.21,37.0,43.5,13.0
PF-C,Andre Brown,11.7,,3.22,32.0,35.5,18.0
PG,Antonio Burks,,,,,,9.0
C,Jackie Butler,13.32,,3.4,23.0,25.0,14.0
PG,Aleksandar Capin,11.5,,3.27,23.0,29.0,4.0
C,Ales Chan,12.9,,3.62,21.0,29.0,2.0
SG-SF,Josh Childress,11.95,,3.38,29.0,36.0,11.0
SF,TJ Cummings,11.58,,3.12,27.0,31.0,6.0
SF-PF,Erik Daniels,11.38,,3.19,31.0,32.0,4.0
SF,Luol Deng,11.46,,3.34,27.5,31.5,5.0
C-PF,Marcus Douthit,11.64,,3.34,25.5,31.5,1.0
PG,Chris Duhon,10.45,,3.14,31.5,35.0,7.0
C,John Edwards,,,,,,15.0
SG-SF,Andre Emmett,,,,,,
SG,Desmon Farmer,10.89,,3.2,24.0,31.0,12.0
PG-SG,Luis Flores,10.97,,3.1,29.0,32.0,15.0
SF-PF,Matt Freije,11.15,,3.25,29.5,31.0,13.0
C-PF,Chris Garnett,11.75,,3.36,27.0,31.5,22.0
SF-PF,Ryan Gomes,12.49,,3.24,26.5,30.5,9.0
PG-SG,Ben Gordon,11.28,,3.19,31.5,37.5,12.0
PG,Devin Harris,11.03,,3.19,30.5,37.0,5.0
PF-C,Dwight Howard,11.21,,3.14,30.5,35.5,7.0
PF,Rolando Howell,11.91,,3.28,28.5,34.5,
PF,Kris Humphries,11.33,,3.2,29.5,36.0,22.0
SG-SF,Andre Iguodala,11.17,,3.18,30.5,34.5,4.0
C-PF,Martin Iti,12.28,,3.41,26.5,32.5,13.0
SF-SG,Luke Jackson,11.1,,3.24,26.5,36.0,13.0
PF-SF,Al Jefferson,13.08,,3.29,28.5,30.0,3.0
PF-C,Arthur Johnson,11.81,,3.38,26.5,28.5,14.0
PG,Ivan Koljevic,11.07,,3.28,26.0,28.5,4.0
SF-PF,Herve Lamizana,,,,,,
PF-SF,Sergei Lishouk,,,,,,
PG-SG,Shaun Livingston,10.72,,3.23,26.5,30.0,
PF,Jaime Lloreda,12.93,,3.23,25.5,29.5,6.0
SF-SG,Bryant Matthews,11.08,,3.13,29.0,34.5,13.0
SF-PF,Marcus Melvin,11.81,,3.33,25.0,30.5,11.0
PF-SF,Rich Melzer,11.74,,3.39,24.5,28.5,8.0
PG-SG,Ricky Minard,10.94,,3.1,27.5,33.0,13.0
PF-SF,James Moore,11.01,,3.21,28.5,32.5,
PG-SG,Marcus Moore,11.31,,3.34,25.0,30.0,
SG-SF,Michel Morandais,11.45,,3.22,30.5,33.5,16.0
PG,Jameer Nelson,10.95,,3.14,28.5,33.5,15.0
SG-PG,Misan Nikagbatse,11.27,,3.32,27.5,32.5,11.0
C-PF,Emeka Okafor,12.32,,3.15,31.5,34.0,22.0
PF-SF,Randall Orr,11.18,,3.27,26.5,33.0,6.0
SF,Dylan Page,10.99,,3.4,26.0,30.0,17.0
PF,Drago Pasalic,12.97,,3.56,25.5,30.0,8.0
SG,Rickey Paulding,11.14,,3.17,30.0,36.0,17.0
SG-PG,Kelvin Pena,11.5,,3.24,27.5,32.5,1.0
PG-SG,Tim Pickett,,,,,,
PG,Omar Quintero,11.37,,3.25,25.0,29.0,2.0
C,Peter Ramos,12.61,,3.6,24.0,26.5,2.0
C-PF,Jared Reiner,12.65,,3.56,22.0,26.0,15.0
PF,Lawrence Roberts,12.52,,3.3,27.5,33.0,18.0
SG-SF,Bernard Robinson,10.91,,3.17,28.5,34.5,14.0
PG,Nate Robinson,10.75,,2.96,35.5,43.5,13.0
PF,Aerick Sanders,11.98,,3.37,24.5,30.5,9.0
SG,Romain Sato,11.27,,3.18,31.5,35.5,8.0
SF-PF,Blagota Sekulic,10.93,,3.39,23.5,31.5,8.0
SG-SF,Josh Smith,11.43,,3.24,32.5,39.5,12.0
SG-SF,J.R. Smith,10.93,,3.21,29.0,35.5,5.0
SG-SF,Kirk Snyder,10.79,,3.13,30.0,35.0,19.0
PF-C,Pape Sow,12.13,,3.27,28.0,31.5,18.0
C-PF,Tiago Splitter,11.65,,3.38,26.0,31.5,8.0
PG,Blake Stepp,,,,,,
PF-C,Tom Timmerrmans,13.13,,3.63,23.0,26.5,15.0
SG-PG,Marko Tomas,11.8,,3.23,32.0,31.5,
PG,Beno Udrih,,,,,,2.0
PF-C,Jackson Vroman,10.75,,3.25,29.5,33.5,12.0
PG-SG,Delonte West,11.2,,3.15,30.0,35.0,12.0
SG-SF,Damien Wilkins,11.92,,3.15,26.5,31.0,15.0
SF,Mike Williams,11.59,,3.42,23.5,27.5,
PF-SF,Nate Williams,12.6,,3.35,23.5,26.0,1.0
PG,Rashad Wright,11.15,,3.28,28.5,32.5,10.0
PF,Aloysius Anagonye,12.93,,3.3,31.0,34.5,6.0
SF-PF,Rick Anderson,11.23,,3.4,26.0,30.5,6.0
SF,Carmelo Anthony,11.4,,3.15,30.5,33.5,7.0
SF-PF,Jerome Beasley,11.36,,3.25,27.0,32.0,10.0
PG,Troy Bell,10.89,,3.06,34.5,41.0,17.0
SF,LaVell Blanchard,11.64,,3.38,33.5,36.5,12.0
SG,Keith Bogans,11.43,,3.25,29.5,35.0,10.0
PF-SF,Matt Bonner,11.52,,3.32,27.0,32.0,20.0
PF,Chris Bosh,11.8,,3.3,30.5,33.0,9.0
PG-SG,Jermaine Boyette,11.2,,3.07,29.0,35.5,14.0
PF-SF,Souleymane Camara,11.51,,3.2,28.5,34.5,2.0
SG-SF,Matt Carroll,11.11,,3.35,29.0,33.5,13.0
PF,Nick Collison,11.62,,3.28,28.0,33.0,8.0
PF-SF,Brian Cook,11.87,,3.45,25.0,29.0,6.0
PF-SF,Joel Cornette,11.27,,3.14,26.0,32.5,13.0
SG-PG,Marquis Daniels,11.62,,3.25,30.5,35.0,6.0
C-PF,Aleksander Djuric,11.97,,3.65,23.5,27.5,3.0
SG,Ruben Douglas,11.95,,3.27,28.5,35.0,9.0
SF-SG,Ronald Dupree,11.09,,3.23,37.5,41.5,11.0
SG-PG,Carl English,11.77,,3.32,28.0,34.0,11.0
SG,Ebi Ere,11.38,,3.16,29.5,33.5,
PF-C,Marquis Estill,12.92,,3.31,30.0,36.0,7.0
PG,T.J. Ford,11.45,,3.2,32.5,39.5,
PG,Jason Gardner,10.62,,3.17,30.5,35.0,10.0
SG-PG,Willie Green,11.86,,3.19,28.5,28.5,13.0
PG-SG,Justin Hamilton,11.18,,3.18,30.0,37.5,17.0
SG,Travis Hansen,10.72,,3.18,31.5,35.0,16.0
C-PF,Trevor Harvey,11.85,,3.32,29.5,32.0,11.0
PG,Marcus Hatten,11.5,,3.15,29.5,37.5,7.0
PG-SG,Kirk Hinrich,10.98,,3.1,29.0,33.5,10.0
PF,Jerry Holman,11.54,,3.24,33.0,37.5,11.0
PF,Sam Hoskin,,,,,,24.0
SF-SG,Josh Howard,10.89,,3.09,33.0,36.5,4.0
PF,Brandon Hunter,11.13,,3.21,32.5,35.0,25.0
C-PF,Sani Ibrahim,13.02,,3.4,26.0,30.5,12.0
PF-SF,Michael Ignerski,11.21,,3.13,26.5,33.0,10.0
PF-C,Robert Jackson,11.26,,3.25,23.5,26.0,15.0
SF-SG,LeBron James,,,,,,
SF-PF,Britton Johnsen,10.67,,3.08,26.5,32.5,13.0
SF,James Jones,11.18,,3.19,30.5,33.0,9.0
SG-SF,Dahntay Jones,10.91,,3.11,30.0,39.5,
C-PF,Chris Kaman,11.33,,3.37,23.5,30.5,15.0
SG-SF,Jason Kapono,11.04,,3.38,23.5,30.0,8.0
C-PF,Jason Keep,11.18,,3.3,29.5,34.0,27.0
SG-PG,Bernard King,11.37,,3.18,28.0,33.5,11.0
PG,Brandin Knight,,,,,,6.0
SF,Kyle Korver,11.42,,3.47,25.5,31.5,13.0
C-PF,James Lang,14.01,,3.55,24.5,32.0,8.0
PF-C,Donald Little,11.18,,3.2,33.0,37.0,18.0
C,Chris Marcus,,,,,,12.0
PF-C,Chris Massie,12.48,,3.22,26.5,33.0,13.0
C-PF,Will McDonald,11.83,,3.42,25.0,32.5,17.0
PF,Darko Milicic,11.3,,3.36,26.5,32.5,13.0
PF,Jeff Newton,11.18,,3.23,27.5,34.0,9.0
PF-C,Uche Nsonwu-Amadi,11.83,,3.25,27.5,29.0,21.0
SF,Ugonna Okyekwe,11.43,,3.2,32.0,36.5,8.0
PG,Marlon Parmer,,,3.42,28.0,32.0,13.0
PF-SF,Stephane Pelle,11.37,,3.27,28.5,33.0,17.0
SG-SF,Kirk Penney,10.44,,3.04,32.0,35.5,15.0
C,Pavel Podkolzin,13.4,,3.8,19.5,22.5,5.0
PF-SF,Josh Powell,11.72,,3.2,32.5,38.5,15.0
PG-SG,Hollis Price,10.72,,3.25,27.5,33.0,1.0
PG,Luke Ridnour,11.0,,3.28,26.0,32.5,
SG,Joe Shipp,11.75,,3.2,29.0,34.5,17.0
SF-PF,Ron Slay,12.01,,3.43,28.5,31.5,10.0
PF-SF,Theron Smith,10.99,,3.1,28.5,32.0,25.0
PF-SF,Tommy Smith,11.54,,3.14,30.0,33.0,2.0
C-PF,Marvin Stone,12.1,,3.5,25.5,27.5,9.0
PF,Michael Sweetney,12.9,,3.28,26.0,31.5,3.0
PG-SG,Sasha Vujacic,,,,,,
SG-SF,Dwyane Wade,10.56,,3.08,31.5,35.0,9.0
PF,Wayne Wallace,11.85,,3.24,29.5,36.0,6.0
SF-PF,Luke Walton,,,,28.0,,12.0
PF-SF,David West,12.18,,3.43,28.5,31.5,11.0
PG-SG,Mo Williams,,,,,,3.0
C-PF,Wesley Wilson,12.19,,3.3,27.0,30.5,20.0
SF-PF,Doug Wrenn,11.38,,3.17,34.5,41.0,15.0
PG,Derrick Zimmerman,11.09,,3.1,34.0,40.5,13.0
PF,Nene,10.73,,3.19,30.0,34.0,16.0
PF-C,Robert Archibald,11.34,,3.33,24.0,27.5,10.0
PG,Maurice Baker,12.19,,3.29,29.5,33.0,2.0
SF,Matt Barnes,10.68,,3.28,35.5,40.5,11.0
SF-SG,Lubos Barton,11.2,,3.31,25.5,31.5,14.0
PF-C,Lonny Baxter,11.77,,3.21,28.0,32.5,14.0
SF-PF,Lee Benson,11.44,,3.29,27.5,32.5,14.0
PF,Carlos Boozer,10.77,,3.31,26.5,28.5,13.0
C,Curtis Borchardt,12.56,,3.63,24.0,27.0,7.0
SG-PG,J.R. Bremer,10.93,,3.1,30.0,35.5,24.0
PG-SG,Brian Brown,11.43,,3.29,26.0,33.0,8.0
PF,Sylvere Bryan,12.03,,3.2,28.5,29.5,13.0
C,Chris Burgess,11.58,,3.37,24.5,31.0,24.0
SF-SG,Caron Butler,12.15,,3.33,27.0,31.0,2.0
SF,Rasual Butler,11.54,,3.29,31.5,37.5,10.0
PG-SG,Mire Chatman,11.12,,3.18,29.0,33.0,1.0
C,Chris Christoffersen,12.55,,3.39,28.0,31.0,13.0
SG-SF,Lenny Cooke,,,,,,
SG-SF,Craig Dawson,12.06,,3.25,26.0,30.0,
SF,Mike Dunleavy,11.55,,3.3,24.5,29.0,11.0
PG,Teddy Dupay,10.53,,3.19,28.0,33.0,16.0
PF,Corsley Edwards,12.18,,3.31,28.5,33.0,12.0
PF,Andy Ellis,11.69,,3.34,32.0,35.5,6.0
PF,Melvin Ely,11.96,,3.35,26.0,29.0,7.0
PF,Reggie Evans,12.73,,3.26,26.0,29.5,15.0
PF-C,Peter Fehse,,,,,,
PF,Drew Gooden,11.81,,3.19,29.0,33.0,13.0
SG,David Graves,11.2,,3.27,26.0,29.5,8.0
PG,Lynn Greer,11.24,,3.16,29.5,36.5,12.0
SF-SG,Rod Grizzard,,,,,,6.0
PG-SG,Anthony Grundy,11.1,,3.39,27.5,32.0,
PF,Marcus Haislip,11.35,,3.21,33.5,36.5,8.0
SG-PG,Damon Hancock,11.62,,3.03,32.0,35.0,15.0
PG,Greg Harrington,12.06,,3.32,28.5,34.0,15.0
PF,Udonis Haslem,11.8,,3.31,28.5,33.5,22.0
PG,Cordell Henry,11.3,,3.04,33.0,37.5,1.0
SF-PF,Randy Holcomb,12.85,,3.22,29.5,35.5,15.0
PF-SF,Ryan Humphrey,11.75,,3.2,31.5,37.5,13.0
PF,Jared Jeffries,11.73,,3.4,26.0,30.0,9.0
C,Jason Jennings,11.92,,3.62,29.0,32.0,8.0
SG,Fred Jones,11.12,,3.13,33.5,37.5,
C-PF,Lonnie Jones,11.8,,3.33,30.5,31.5,15.0
C,Mario Kasun,,,,,,12.0
PG,Sean Kennedy,11.64,,3.28,22.5,26.5,
C-PF,Kris Lang,11.36,,3.24,28.0,29.0,19.0
C-PF,Muhammed Lasege,12.96,,3.29,27.5,30.0,18.0
PG,Steve Logan,,,,,,11.0
C-PF,Kevin Lyde,12.97,,3.36,27.5,30.5,13.0
PG,Tito Maddox,12.2,,3.24,27.0,32.5,
SF,Kei Madison,11.74,,3.22,27.5,34.5,6.0
PF,Chris Massie,,,,,,
SG,Immanuel McElroy,,,,,,9.0
PF-SF,Aaron McGhee,12.24,,,26.0,28.5,
SF-SG,Elvin Mims,11.17,,3.22,32.0,38.0,7.0
SG-SF,Byron Mouton,11.84,,3.1,24.0,30.0,7.0
SG,Ronald Murray,11.13,,3.16,31.0,36.5,9.0
PF-C,Uche Okafor,14.45,,3.34,24.5,25.0,10.0
PF-SF,Chris Owens,,,,,,10.0
PG,Jannero Pargo,11.11,,3.2,25.5,29.5,5.0
PG-SG,Smush Parker,12.3,,3.26,21.0,28.5,1.0
SG-SF,Luke Recker,10.78,,3.27,25.5,31.0,13.0
PF,Rolan Roberts,11.36,,3.33,32.5,37.5,16.0
SF,Travis Robinson,11.96,,3.43,26.0,33.0,3.0
SG-SF,Kareem Rush,11.86,,3.22,26.0,30.0,15.0
PF-C,Brooks Sales,11.05,,3.29,26.0,29.5,13.0
SF-SG,John Salmons,11.35,,3.25,30.5,34.5,12.0
SG,Predrag Savovic,10.94,,3.38,22.5,28.5,13.0
PF-SF,Julian Sensley,11.85,,3.32,27.5,31.5,8.0
PF-C,Israel Sheinfeld,,,,,,8.0
SF,Preston Shumpert,11.03,,3.24,28.5,29.0,9.0
SF,Tamar Slay,10.94,,3.09,32.5,38.0,11.0
PF,Darius Songaila,11.69,,3.52,24.5,29.5,8.0
PF,Amar'e Stoudemire,11.19,,3.25,32.0,35.5,12.0
PG,Marcus Taylor,11.25,,3.31,27.5,33.5,4.0
SG,Jobey Thomas,11.46,,3.3,26.0,32.0,13.0
PG-SG,Dajuan Wagner,12.03,,3.22,28.0,35.0,16.0
PF-C,Chris Wilcox,11.43,,3.16,31.0,34.5,20.0
PG,Frank Williams,11.73,,3.29,26.0,31.0,
PF-SF,George Williams,11.21,,3.24,33.5,39.0,11.0
PG,Jay Williams,10.34,,3.09,28.5,36.0,10.0
SF-SG,Qyntel Woods,11.94,,3.23,33.5,34.5,2.0
SF,Vincent Yarbrough,11.7,,3.32,30.0,34.0,10.0
C,Adam Allenspach,11.9,,3.4,28.5,31.0,16.0
SG,Gilbert Arenas,,,3.25,31.5,36.0,12.0
SG,Brandon Armstrong,10.91,,3.2,30.0,37.0,6.0
SF-PF,Shane Battier,10.95,,3.3,29.5,33.0,12.0
SG-PG,Cookie Belcher,11.26,,2.91,35.0,41.5,7.0
PG,Charlie Bell,10.59,,3.12,31.5,38.0,15.0
C,Ruben Boumtje-Boumtje,11.84,,3.33,26.5,31.0,6.0
PF,Calvin Bowman,11.96,,3.21,28.5,34.5,7.0
PF,Michael Bradley,11.11,,3.35,27.0,30.0,13.0
PG,Jamison Brewer,9.65,,3.15,26.0,32.5,12.0
PF-C,Kwame Brown,11.59,,3.45,30.0,33.0,17.0
PG,SirValiant Brown,11.23,,3.0,31.0,39.5,10.0
SF,Damone Brown,11.81,,3.27,32.0,37.0,6.0
SF-SG,Ryan Carroll,11.0,,3.1,34.5,39.0,14.0
SF-PF,Tyson Chandler,12.13,,3.36,31.0,33.5,2.0
C,Eric Chenowith,12.5,,3.59,23.5,27.5,6.0
PF,Sam Clancy,11.47,,3.13,31.0,34.0,15.0
PF,Gyasi Cline-Heard,11.4,,3.23,31.5,34.5,11.0
PF-C,Jason Collins,12.1,,3.54,25.5,28.5,8.0
C-PF,Jarron Collins,11.65,,3.6,23.0,29.0,10.0
PG,Omar Cook,10.77,,3.2,31.0,35.5,9.0
C,Eddy Curry,12.25,,3.53,28.0,31.0,16.0
SF,Tate Decker,12.19,,3.47,25.5,28.5,13.0
C,DeSagana Diop,12.37,,3.56,21.5,25.5,15.0
C,Robb Dryden,12.47,,3.46,27.0,30.0,8.0
PF,Anthony Evans,12.56,,3.31,31.5,33.0,18.0
SG,Maurice Evans,10.08,,3.12,34.5,37.5,22.0
C-PF,Benjamin Eze,13.05,,3.36,29.0,32.0,14.0
C-PF,Kimani Ffriend,11.46,,3.09,32.0,33.0,9.0
PF,Alton Ford,11.7,,3.16,34.5,36.5,21.0
SG,Joseph Forte,11.51,,3.19,26.5,33.0,10.0
PG,Jason Gardner,10.88,,2.92,34.5,40.0,9.0
PG-SG,Jerry Green,11.7,,3.17,28.5,35.0,13.0
SF,Kenny Gregory,11.33,,3.1,39.5,45.5,10.0
PF-SF,Eddie Griffin,11.77,,3.21,26.5,33.0,3.0
SG-SF,Trenton Hassell,11.57,,3.29,35.5,37.5,12.0
PF-SF,Kirk Haston,12.25,,3.35,27.0,31.5,11.0
C,Charles Hathaway,,,,,,
C,Brendan Haywood,12.87,,3.5,27.0,28.5,17.0
SG,Michael Hicks,11.38,,3.19,33.0,40.5,13.0
C-PF,Steven Hunter,11.99,,3.15,30.5,38.5,11.0
PF,Andre Hutson,11.25,,3.3,29.0,32.5,17.0
SF,Nate James,11.42,,3.31,26.0,31.0,23.0
SF,Richard Jefferson,11.19,,3.15,33.0,38.5,14.0
PG,Horace Jenkins,10.97,,3.1,34.5,41.0,2.0
C,Darrell Johns,12.41,,3.59,23.5,30.0,18.0
C,Ken Johnson,11.27,,3.12,32.5,35.0,13.0
SF-SG,Joe Johnson,12.05,,3.4,32.5,36.5,12.0
SG-PG,Darren Kelly,11.38,,3.21,30.5,34.5,1.0
SF,Sean Lampley,11.06,,3.12,36.0,40.0,12.0
PG-SG,Zach Marbury,11.53,,3.1,33.0,36.5,
C-PF,Mike Mardesich,11.65,,3.45,24.0,30.0,8.0
SG,DeMarcus Minor,10.57,,3.15,29.0,41.0,9.0
SF,Jamario Moon,11.64,,3.08,33.0,43.0,
PF,Troy Murphy,11.22,,3.43,28.5,34.5,11.0
PF-SF,Troy Ostler,13.42,,3.5,26.5,29.5,2.0
C-PF,Lazaros Papadopoulos,12.0,,3.7,23.0,26.0,4.0
PG,Rashad Phillips,11.93,,3.27,27.0,32.0,5.0
PG,Demetrius Porter,11.5,,3.34,26.0,31.0,5.0
PF-SF,Martin Rancik,10.77,,3.19,32.0,37.0,14.0
SF-SG,Jason Richardson,11.75,,3.12,32.5,39.5,15.0
SG,Norman Richardson,10.97,,3.15,30.5,35.5,2.0
PG-SG,Jeryl Sasser,11.47,,3.22,29.0,34.0,1.0
PG,Kenny Satterfield,12.05,,3.2,28.5,33.0,3.0
PF-SF,Brian Scalabrine,11.75,,3.47,27.0,30.5,14.0
PF-SF,Lee Scruggs,13.28,,3.55,23.5,29.5,
SF,Bobby Simmons,11.69,,3.41,27.5,34.0,12.0
PG-SG,Will Solomon,11.3,,3.22,28.5,35.0,4.0
SF,Greg Stevenson,11.29,,3.23,30.0,35.5,15.0
PF,Damone Thornton,11.17,,3.2,33.5,37.5,19.0
PG,Jamaal Tinsley,11.96,,3.2,28.0,37.5,1.0
SF,Tory Walker,11.95,,3.25,28.0,33.0,7.0
C,Souleymane Wane,12.02,,3.46,29.0,30.5,9.0
PG,Earl Watson,10.97,,3.19,32.5,37.5,4.0
SF,Rodney White,12.07,,3.47,27.5,33.0,16.0
C-PF,Loren Woods,11.83,,3.48,24.5,28.0,10.0
PF,Michael Wright,11.37,,3.21,27.5,33.5,18.0
PF-SF,Brent Wright,12.25,,3.3,23.0,29.0,19.0
